UTC,Open,High,Low,Close,Volume
03.01.2022 00:00:00.000 UTC,1828.294,1828.328,1827.988,1828.188,0.01547
03.01.2022 00:01:00.000 UTC,1828.178,1828.178,1828.058,1828.078,0.00556
03.01.2022 00:02:00.000 UTC,1828.078,1828.158,1827.968,1828.088,0.00937
03.01.2022 00:03:00.000 UTC,1828.128,1828.138,1828.038,1828.038,0.00459
03.01.2022 00:04:00.000 UTC,1828.068,1828.088,1827.938,1827.988,0.00896
03.01.2022 00:05:00.000 UTC,1827.978,1828.038,1827.968,1827.968,0.00524
03.01.2022 00:06:00.000 UTC,1827.968,1828.038,1827.845,1827.845,0.0102
03.01.2022 00:07:00.000 UTC,1827.845,1827.845,1827.648,1827.648,0.01466
03.01.2022 00:08:00.000 UTC,1827.648,1827.738,1827.648,1827.728,0.00924
03.01.2022 00:09:00.000 UTC,1827.738,1827.758,1827.648,1827.688,0.00877
03.01.2022 00:10:00.000 UTC,1827.658,1827.748,1827.638,1827.728,0.0046
03.01.2022 00:11:00.000 UTC,1827.708,1828.108,1827.638,1828.024,0.01005
03.01.2022 00:12:00.000 UTC,1828.078,1828.108,1827.718,1827.718,0.01359
03.01.2022 00:13:00.000 UTC,1827.718,1827.748,1827.628,1827.628,0.0049
03.01.2022 00:14:00.000 UTC,1827.558,1827.568,1827.344,1827.368,0.01611
03.01.2022 00:15:00.000 UTC,1827.368,1827.498,1827.368,1827.444,0.0126
03.01.2022 00:16:00.000 UTC,1827.438,1827.724,1827.254,1827.318,0.01633
03.01.2022 00:17:00.000 UTC,1827.318,1827.854,1827.244,1827.264,0.02164
03.01.2022 00:18:00.000 UTC,1827.264,1827.608,1827.264,1827.358,0.01933
03.01.2022 00:19:00.000 UTC,1827.358,1827.488,1827.348,1827.398,0.00605
03.01.2022 00:20:00.000 UTC,1827.418,1827.418,1827.228,1827.258,0.01092
03.01.2022 00:21:00.000 UTC,1827.308,1827.418,1827.238,1827.278,0.00624
03.01.2022 00:22:00.000 UTC,1827.288,1827.348,1826.888,1827.168,0.01158
03.01.2022 00:23:00.000 UTC,1827.228,1827.538,1827.198,1827.538,0.00577
03.01.2022 00:24:00.000 UTC,1827.688,1827.828,1827.658,1827.788,0.01034
03.01.2022 00:25:00.000 UTC,1827.788,1827.988,1827.648,1827.988,0.00924
03.01.2022 00:26:00.000 UTC,1827.978,1827.978,1827.528,1827.628,0.00919
03.01.2022 00:27:00.000 UTC,1827.628,1828.018,1827.628,1827.958,0.00442
03.01.2022 00:28:00.000 UTC,1827.958,1828.468,1827.818,1828.454,0.01236
03.01.2022 00:29:00.000 UTC,1828.454,1828.968,1828.454,1828.878,0.01619
03.01.2022 00:30:00.000 UTC,1828.878,1829.318,1828.318,1829.178,0.02313
03.01.2022 00:31:00.000 UTC,1829.179,1830.814,1829.179,1830.788,0.02718
03.01.2022 00:32:00.000 UTC,1830.808,1830.858,1830.138,1830.428,0.03796
03.01.2022 00:33:00.000 UTC,1830.348,1830.348,1829.678,1829.684,0.03853
03.01.2022 00:34:00.000 UTC,1829.678,1829.728,1829.478,1829.624,0.02323
